city,country,observation_timestamp,temp_avg_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction,rain_tomorrow
Amman,JO,2026-05-04 23:00:00+00,11.05,66,1016,18.50,WSW,f
Kuwait City,KW,2026-05-04 23:00:00+00,32.10,37,1005,21.53,N,t
Doha,QA,2026-05-04 23:00:00+00,27.94,39,1005,14.83,NNW,t
Casablanca,MA,2026-05-04 23:00:00+00,17.02,72,1018,5.54,ENE,f
Tunisia,TN,2026-05-04 23:00:00+00,21.99,37,1016,23.72,ENE,f
Cairo,EG,2026-05-04 22:00:00+00,16.42,55,1018,18.50,NW,f
Riyadh,SA,2026-05-04 22:00:00+00,29.04,11,1007,20.12,SSE,t
Dubai,AE,2026-05-04 22:00:00+00,27.96,57,1004,11.12,S,t
Baghdad,IQ,2026-05-04 22:00:00+00,22.95,31,1009,11.12,N,t
Beirut,LB,2026-05-04 22:00:00+00,13.54,69,1013,37.30,SSW,f
Amman,JO,2026-05-04 22:00:00+00,11.05,66,1016,20.38,W,f
Kuwait City,KW,2026-05-04 22:00:00+00,31.55,34,1006,19.15,NW,f
Doha,QA,2026-05-04 22:00:00+00,32.99,24,1005,12.96,NNW,f
Casablanca,MA,2026-05-04 22:00:00+00,18.07,67,1018,9.25,NE,t
Tunisia,TN,2026-05-04 22:00:00+00,23.35,34,1016,25.02,ENE,f
Cairo,EG,2026-05-04 21:00:00+00,17.42,51,1018,24.08,NW,f
Riyadh,SA,2026-05-04 21:00:00+00,30.18,10,1008,15.01,SSE,f
Dubai,AE,2026-05-04 21:00:00+00,29.96,51,1004,7.42,S,t
Baghdad,IQ,2026-05-04 21:00:00+00,22.95,31,1009,18.50,N,t
Beirut,LB,2026-05-04 21:00:00+00,12.99,67,1013,38.30,SSW,f
Amman,JO,2026-05-04 21:00:00+00,11.05,58,1016,24.08,W,f
Kuwait City,KW,2026-05-04 21:00:00+00,29.88,50,1005,5.98,WSW,t
Doha,QA,2026-05-04 21:00:00+00,32.16,22,1006,11.12,WNW,f
Casablanca,MA,2026-05-04 21:00:00+00,18.07,67,1018,11.12,NE,t
Tunisia,TN,2026-05-04 21:00:00+00,24.23,29,1016,23.22,ENE,f
Cairo,EG,2026-05-04 20:00:00+00,17.42,48,1018,25.92,NW,f
Riyadh,SA,2026-05-04 20:00:00+00,32.92,10,1007,13.43,SSE,f
Dubai,AE,2026-05-04 20:00:00+00,29.96,51,1005,7.42,N,t
Baghdad,IQ,2026-05-04 20:00:00+00,24.95,31,1009,11.12,N,t
Beirut,LB,2026-05-04 20:00:00+00,12.99,66,1014,39.10,SSW,f
Amman,JO,2026-05-04 20:00:00+00,12.05,62,1016,20.38,WSW,f
Kuwait City,KW,2026-05-04 20:00:00+00,32.10,39,1005,12.17,SSE,f
Doha,QA,2026-05-04 20:00:00+00,32.16,23,1006,9.25,WNW,f
Casablanca,MA,2026-05-04 20:00:00+00,19.07,68,1018,12.89,NE,t
Tunisia,TN,2026-05-04 20:00:00+00,24.98,25,1016,22.39,E,f
Cairo,EG,2026-05-04 19:00:00+00,19.42,39,1018,24.08,NW,f
Riyadh,SA,2026-05-04 19:00:00+00,33.07,10,1007,11.41,SSE,f
Dubai,AE,2026-05-04 19:00:00+00,29.96,51,1005,5.54,SSW,t
Baghdad,IQ,2026-05-04 19:00:00+00,24.95,31,1009,11.12,N,t
Beirut,LB,2026-05-04 19:00:00+00,12.99,63,1014,36.90,SW,f
Amman,JO,2026-05-04 19:00:00+00,12.05,58,1016,24.08,W,f
Kuwait City,KW,2026-05-04 19:00:00+00,32.66,34,1005,16.02,SSE,f
Doha,QA,2026-05-04 19:00:00+00,33.16,24,1006,14.83,NW,f
Casablanca,MA,2026-05-04 19:00:00+00,19.13,68,1017,12.96,NE,t
Tunisia,TN,2026-05-04 19:00:00+00,27.08,19,1015,20.38,ESE,f
Cairo,EG,2026-05-04 18:00:00+00,19.42,39,1017,27.79,NNW,t
Riyadh,SA,2026-05-04 18:00:00+00,34.00,9,1008,15.05,SSE,f
Dubai,AE,2026-05-04 18:00:00+00,29.96,51,1005,7.42,SW,t
Baghdad,IQ,2026-05-04 18:00:00+00,25.95,31,1009,12.96,NNW,t
Beirut,LB,2026-05-04 18:00:00+00,13.54,66,1014,33.80,SW,f
Amman,JO,2026-05-04 18:00:00+00,13.05,58,1016,24.08,W,f
Kuwait City,KW,2026-05-04 18:00:00+00,31.55,44,1005,17.82,SSE,f
Doha,QA,2026-05-04 18:00:00+00,33.76,22,1006,18.50,NNW,f
Casablanca,MA,2026-05-04 18:00:00+00,20.19,64,1016,11.12,NE,t
Tunisia,TN,2026-05-04 18:00:00+00,29.31,13,1014,7.81,SE,f
Cairo,EG,2026-05-04 17:00:00+00,20.42,34,1017,27.79,NW,f
Riyadh,SA,2026-05-04 17:00:00+00,35.28,9,1007,15.01,SE,f
Dubai,AE,2026-05-04 17:00:00+00,30.96,51,1005,11.12,WSW,f
Baghdad,IQ,2026-05-04 17:00:00+00,26.95,32,1009,14.83,NNW,t
Beirut,LB,2026-05-04 17:00:00+00,14.10,68,1014,33.52,SW,f
Amman,JO,2026-05-04 17:00:00+00,14.05,54,1015,27.79,W,f
Kuwait City,KW,2026-05-04 17:00:00+00,31.55,45,1005,17.53,SE,f
Doha,QA,2026-05-04 17:00:00+00,33.57,38,1006,11.12,N,t
Casablanca,MA,2026-05-04 17:00:00+00,20.19,60,1016,12.96,N,t
Tunisia,TN,2026-05-04 17:00:00+00,29.57,12,1014,9.25,SSE,f
Cairo,EG,2026-05-04 16:00:00+00,22.42,28,1016,24.08,NW,f
Riyadh,SA,2026-05-04 16:00:00+00,35.93,9,1007,8.42,ESE,f
Dubai,AE,2026-05-04 16:00:00+00,30.96,48,1004,12.96,W,f
Baghdad,IQ,2026-05-04 16:00:00+00,28.95,30,1009,14.83,N,t
Beirut,LB,2026-05-04 16:00:00+00,13.54,66,1013,35.46,SW,f
Amman,JO,2026-05-04 16:00:00+00,15.05,55,1015,27.79,W,f
Kuwait City,KW,2026-05-04 16:00:00+00,31.55,47,1004,17.39,SE,f
Doha,QA,2026-05-04 16:00:00+00,33.99,40,1005,9.25,NNE,f
Casablanca,MA,2026-05-04 16:00:00+00,20.18,64,1016,12.96,NNE,t
Tunisia,TN,2026-05-04 16:00:00+00,29.67,13,1014,8.35,SSE,f
Cairo,EG,2026-05-04 15:00:00+00,22.42,30,1015,20.38,N,t
Riyadh,SA,2026-05-04 15:00:00+00,37.38,8,1006,3.49,SE,f
Dubai,AE,2026-05-04 15:00:00+00,31.96,48,1004,14.83,WSW,f
Baghdad,IQ,2026-05-04 15:00:00+00,29.95,26,1009,12.96,NW,f
Beirut,LB,2026-05-04 15:00:00+00,14.10,65,1013,38.77,SW,t
Amman,JO,2026-05-04 15:00:00+00,17.05,45,1015,33.34,W,f
Kuwait City,KW,2026-05-04 15:00:00+00,31.55,49,1005,17.68,ESE,t
Doha,QA,2026-05-04 15:00:00+00,35.99,32,1005,11.12,N,t
Casablanca,MA,2026-05-04 15:00:00+00,20.96,60,1016,12.96,NNE,t
Tunisia,TN,2026-05-04 15:00:00+00,29.52,13,1014,7.09,S,f
Cairo,EG,2026-05-04 14:00:00+00,22.42,33,1016,22.21,NW,f
Riyadh,SA,2026-05-04 14:00:00+00,38.33,7,1006,3.20,SSE,f
Dubai,AE,2026-05-04 14:00:00+00,31.96,45,1003,16.67,W,f
Baghdad,IQ,2026-05-04 14:00:00+00,29.95,26,1008,14.83,WNW,f
Beirut,LB,2026-05-04 14:00:00+00,14.10,65,1013,42.01,SW,t
Amman,JO,2026-05-04 14:00:00+00,17.05,36,1015,35.17,WSW,f
Kuwait City,KW,2026-05-04 14:00:00+00,32.10,50,1004,17.86,ESE,t
Doha,QA,2026-05-04 14:00:00+00,36.99,30,1004,12.96,N,t
Casablanca,MA,2026-05-04 14:00:00+00,20.96,60,1017,11.12,NNE,t
Tunisia,TN,2026-05-04 14:00:00+00,29.28,14,1015,7.20,S,f
Cairo,EG,2026-05-04 13:00:00+00,22.42,33,1016,22.21,NW,f
Riyadh,SA,2026-05-04 13:00:00+00,38.33,7,1006,3.20,SSE,f
Dubai,AE,2026-05-04 13:00:00+00,32.96,40,1004,18.50,WNW,f
Baghdad,IQ,2026-05-04 13:00:00+00,29.95,26,1008,14.83,WNW,f
Beirut,LB,2026-05-04 13:00:00+00,14.10,65,1013,46.76,SW,t
Amman,JO,2026-05-04 13:00:00+00,17.05,36,1014,35.17,WSW,f
Kuwait City,KW,2026-05-04 13:00:00+00,32.66,50,1005,17.86,ESE,t
Doha,QA,2026-05-04 13:00:00+00,36.99,32,1004,12.96,N,t
Casablanca,MA,2026-05-04 13:00:00+00,20.74,60,1017,11.12,NNE,t
Tunisia,TN,2026-05-04 13:00:00+00,29.28,14,1015,7.20,S,f
Cairo,EG,2026-05-04 12:00:00+00,22.42,35,1016,24.08,WNW,f
Riyadh,SA,2026-05-04 12:00:00+00,38.54,6,1007,3.92,SE,f
Dubai,AE,2026-05-04 12:00:00+00,34.96,34,1004,22.21,W,f
Baghdad,IQ,2026-05-04 12:00:00+00,29.95,25,1009,24.08,NW,f
Beirut,LB,2026-05-04 12:00:00+00,14.65,64,1013,49.03,SW,t
Amman,JO,2026-05-04 12:00:00+00,18.05,32,1015,35.17,W,t
Kuwait City,KW,2026-05-04 12:00:00+00,32.66,51,1006,5.15,E,t
Doha,QA,2026-05-04 12:00:00+00,35.99,34,1005,20.38,NNE,f
Casablanca,MA,2026-05-04 12:00:00+00,20.19,64,1017,12.96,NE,t
Tunisia,TN,2026-05-04 12:00:00+00,27.93,16,1017,9.58,SSW,f
Cairo,EG,2026-05-04 11:00:00+00,21.42,35,1017,25.92,WNW,f
Riyadh,SA,2026-05-04 11:00:00+00,38.39,7,1008,4.86,SSE,f
Dubai,AE,2026-05-04 11:00:00+00,35.96,32,1005,24.08,W,f
Baghdad,IQ,2026-05-04 11:00:00+00,29.95,25,1009,16.67,NW,f
Beirut,LB,2026-05-04 11:00:00+00,14.10,63,1013,48.60,SW,f
Amman,JO,2026-05-04 11:00:00+00,17.05,39,1016,31.50,W,f
Kuwait City,KW,2026-05-04 11:00:00+00,33.77,47,1007,2.52,E,f
Doha,QA,2026-05-04 11:00:00+00,35.99,30,1006,22.21,NE,f
Casablanca,MA,2026-05-04 11:00:00+00,20.18,64,1017,9.25,NNE,t
Tunisia,TN,2026-05-04 11:00:00+00,27.31,20,1017,9.90,SSW,f
Cairo,EG,2026-05-04 10:00:00+00,21.42,35,1017,24.08,W,f
Riyadh,SA,2026-05-04 10:00:00+00,38.01,7,1009,6.23,SE,f
Dubai,AE,2026-05-04 10:00:00+00,34.96,34,1005,20.38,W,f
Baghdad,IQ,2026-05-04 10:00:00+00,29.95,25,1010,16.67,NW,f
Beirut,LB,2026-05-04 10:00:00+00,14.65,68,1014,46.91,SSW,f
Amman,JO,2026-05-04 10:00:00+00,17.05,39,1016,31.50,W,f
Kuwait City,KW,2026-05-04 10:00:00+00,33.77,43,1006,2.74,NNE,f
Doha,QA,2026-05-04 10:00:00+00,36.99,34,1006,22.21,NE,f
Casablanca,MA,2026-05-04 10:00:00+00,20.19,64,1018,9.25,NNE,t
Tunisia,TN,2026-05-04 10:00:00+00,26.23,23,1018,8.57,S,f
Cairo,EG,2026-05-04 09:00:00+00,20.42,37,1018,24.08,W,f
Riyadh,SA,2026-05-04 09:00:00+00,37.32,7,1010,7.81,SE,f
Dubai,AE,2026-05-04 09:00:00+00,34.96,36,1006,20.38,W,f
Baghdad,IQ,2026-05-04 09:00:00+00,27.95,30,1011,16.67,NNW,t
Beirut,LB,2026-05-04 09:00:00+00,12.43,69,1014,46.98,SW,f
Amman,JO,2026-05-04 09:00:00+00,14.05,58,1015,22.21,WSW,f
Kuwait City,KW,2026-05-04 09:00:00+00,33.21,45,1008,4.25,N,f
Doha,QA,2026-05-04 09:00:00+00,38.16,18,1007,18.50,N,f
Casablanca,MA,2026-05-04 09:00:00+00,19.13,68,1017,5.54,NE,t
Tunisia,TN,2026-05-04 09:00:00+00,24.86,29,1019,7.56,S,f
Cairo,EG,2026-05-04 08:00:00+00,20.42,37,1018,22.21,WSW,f
Riyadh,SA,2026-05-04 08:00:00+00,37.05,8,1010,10.30,ESE,f
Dubai,AE,2026-05-04 08:00:00+00,35.96,28,1006,18.50,W,f
Baghdad,IQ,2026-05-04 08:00:00+00,26.95,32,1011,20.38,NNW,t
Beirut,LB,2026-05-04 08:00:00+00,12.43,78,1014,50.26,SW,f
Amman,JO,2026-05-04 08:00:00+00,13.05,62,1016,25.92,W,f
Kuwait City,KW,2026-05-04 08:00:00+00,32.66,42,1009,4.68,NW,f
Doha,QA,2026-05-04 08:00:00+00,37.16,19,1007,18.50,N,f
Casablanca,MA,2026-05-04 08:00:00+00,18.07,72,1017,3.71,NE,t
Tunisia,TN,2026-05-04 08:00:00+00,22.98,34,1019,6.30,S,f
Cairo,EG,2026-05-04 07:00:00+00,18.42,42,1018,22.21,WSW,f
Riyadh,SA,2026-05-04 07:00:00+00,35.30,9,1012,9.54,SE,f
Dubai,AE,2026-05-04 07:00:00+00,35.96,24,1007,12.96,N,f
Baghdad,IQ,2026-05-04 07:00:00+00,25.95,41,1011,14.83,NNW,t
Beirut,LB,2026-05-04 07:00:00+00,13.54,70,1013,40.79,SSW,f
Amman,JO,2026-05-04 07:00:00+00,13.05,58,1015,24.08,W,f
Kuwait City,KW,2026-05-04 07:00:00+00,34.32,39,1009,5.36,W,f
Doha,QA,2026-05-04 07:00:00+00,36.16,22,1008,16.67,NW,f
Casablanca,MA,2026-05-04 07:00:00+00,17.02,72,1017,1.84,N,f
Tunisia,TN,2026-05-04 07:00:00+00,21.30,43,1019,4.68,SSE,f
Cairo,EG,2026-05-04 06:00:00+00,17.42,45,1018,18.50,WSW,f
Riyadh,SA,2026-05-04 06:00:00+00,32.37,12,1012,8.39,SE,f
Dubai,AE,2026-05-04 06:00:00+00,33.96,33,1007,11.12,SSW,f
Baghdad,IQ,2026-05-04 06:00:00+00,23.95,50,1011,20.38,NNW,t
Beirut,LB,2026-05-04 06:00:00+00,13.54,67,1013,42.88,SSW,f
Amman,JO,2026-05-04 06:00:00+00,12.05,62,1015,24.08,WSW,f
Kuwait City,KW,2026-05-04 06:00:00+00,32.81,27,1009,5.26,W,f
Doha,QA,2026-05-04 06:00:00+00,34.16,25,1008,12.96,NW,f
Casablanca,MA,2026-05-04 06:00:00+00,17.02,77,1017,5.54,NNE,f
Tunisia,TN,2026-05-04 06:00:00+00,19.24,52,1018,6.23,ESE,t
Cairo,EG,2026-05-04 05:00:00+00,16.42,48,1017,16.67,WSW,f
Riyadh,SA,2026-05-04 05:00:00+00,30.00,15,1012,4.72,E,f
Dubai,AE,2026-05-04 05:00:00+00,30.96,42,1007,11.12,S,f
Baghdad,IQ,2026-05-04 05:00:00+00,25.79,42,1011,25.56,NNW,t
Beirut,LB,2026-05-04 05:00:00+00,13.54,67,1013,41.54,SW,f
Amman,JO,2026-05-04 05:00:00+00,11.05,62,1015,20.38,WSW,f
Kuwait City,KW,2026-05-04 05:00:00+00,34.32,30,1009,6.30,SW,f
Doha,QA,2026-05-04 05:00:00+00,30.94,30,1008,11.12,WNW,f
Casablanca,MA,2026-05-04 05:00:00+00,17.02,77,1016,5.54,NE,t
Tunisia,TN,2026-05-04 05:00:00+00,16.74,53,1018,7.09,E,f
Cairo,EG,2026-05-04 04:00:00+00,15.42,51,1017,14.83,W,f
Riyadh,SA,2026-05-04 04:00:00+00,27.29,18,1012,2.56,E,t
Dubai,AE,2026-05-04 04:00:00+00,28.96,45,1007,14.83,S,t
Baghdad,IQ,2026-05-04 04:00:00+00,23.95,46,1011,24.08,NW,t
Beirut,LB,2026-05-04 04:00:00+00,12.43,60,1012,39.17,SW,f
Amman,JO,2026-05-04 04:00:00+00,10.05,71,1015,16.67,WSW,f
Kuwait City,KW,2026-05-04 04:00:00+00,30.99,34,1008,7.49,SW,f
Doha,QA,2026-05-04 04:00:00+00,27.94,34,1008,7.42,WNW,t
Casablanca,MA,2026-05-04 04:00:00+00,17.02,77,1016,7.42,NE,t
Tunisia,TN,2026-05-04 04:00:00+00,17.23,51,1018,7.92,ENE,f
Cairo,EG,2026-05-04 03:00:00+00,15.42,47,1017,16.67,WNW,f
Riyadh,SA,2026-05-04 03:00:00+00,24.50,19,1011,3.53,ENE,t
Dubai,AE,2026-05-04 03:00:00+00,28.96,42,1006,12.96,S,t
Baghdad,IQ,2026-05-04 03:00:00+00,25.95,41,1010,29.63,NNW,t
Beirut,LB,2026-05-04 03:00:00+00,11.88,56,1012,37.69,SSW,f
Amman,JO,2026-05-04 03:00:00+00,11.05,66,1015,18.50,W,f
Kuwait City,KW,2026-05-04 03:00:00+00,29.32,33,1008,8.42,WSW,t
Doha,QA,2026-05-04 03:00:00+00,28.16,35,1007,5.54,W,t
Casablanca,MA,2026-05-04 03:00:00+00,17.02,77,1016,7.42,NE,t
Tunisia,TN,2026-05-04 03:00:00+00,17.15,48,1018,9.94,ENE,f
Cairo,EG,2026-05-04 02:00:00+00,16.42,48,1017,18.50,WNW,f
Riyadh,SA,2026-05-04 02:00:00+00,24.16,18,1011,3.85,NE,t
Dubai,AE,2026-05-04 02:00:00+00,28.96,42,1006,12.96,SSW,t
Baghdad,IQ,2026-05-04 02:00:00+00,26.95,36,1010,29.63,NW,t
Beirut,LB,2026-05-04 02:00:00+00,12.43,54,1012,33.34,SW,f
Amman,JO,2026-05-04 02:00:00+00,11.05,76,1015,25.92,W,f
Kuwait City,KW,2026-05-04 02:00:00+00,28.21,35,1007,1.66,NW,t
Doha,QA,2026-05-04 02:00:00+00,25.94,44,1007,5.54,NW,t
Casablanca,MA,2026-05-04 02:00:00+00,17.02,77,1016,7.42,NNE,t
Tunisia,TN,2026-05-04 02:00:00+00,18.64,48,1018,10.55,E,f
Cairo,EG,2026-05-04 01:00:00+00,16.42,48,1017,20.38,WNW,f
Riyadh,SA,2026-05-04 01:00:00+00,24.97,18,1011,6.05,NNE,t
Dubai,AE,2026-05-04 01:00:00+00,29.96,39,1005,9.25,SSW,t
Baghdad,IQ,2026-05-04 01:00:00+00,28.95,30,1008,33.34,WNW,t
Beirut,LB,2026-05-04 01:00:00+00,12.43,62,1012,31.43,SW,f
Amman,JO,2026-05-04 01:00:00+00,12.05,71,1015,18.50,WSW,f
Kuwait City,KW,2026-05-04 01:00:00+00,28.21,36,1007,4.43,NNW,t
Doha,QA,2026-05-04 01:00:00+00,29.16,33,1007,9.25,NW,t
Casablanca,MA,2026-05-04 01:00:00+00,18.07,77,1017,9.25,NNE,t
Tunisia,TN,2026-05-04 01:00:00+00,19.01,51,1018,13.86,ENE,f
Cairo,EG,2026-05-04 00:00:00+00,16.42,51,1017,18.50,WNW,f
Riyadh,SA,2026-05-04 00:00:00+00,25.12,17,1011,8.86,NNE,t
Dubai,AE,2026-05-04 00:00:00+00,29.96,39,1005,7.42,SSW,t
Baghdad,IQ,2026-05-04 00:00:00+00,30.95,27,1007,40.75,NW,f
Beirut,LB,2026-05-04 00:00:00+00,12.99,70,1012,36.43,SW,f
Amman,JO,2026-05-04 00:00:00+00,12.05,71,1015,22.21,W,f
Kuwait City,KW,2026-05-04 00:00:00+00,29.88,35,1007,4.50,NW,t
Doha,QA,2026-05-04 00:00:00+00,28.76,36,1006,16.67,NNW,t
Casablanca,MA,2026-05-04 00:00:00+00,18.07,77,1017,9.25,NNE,t
Tunisia,TN,2026-05-04 00:00:00+00,19.50,48,1019,14.26,NE,f
Cairo,EG,2026-05-03 23:00:00+00,17.42,51,1017,18.50,NW,f
Riyadh,SA,2026-05-03 23:00:00+00,25.39,17,1011,9.29,NNE,t
Dubai,AE,2026-05-03 23:00:00+00,30.96,37,1005,7.42,S,t
Baghdad,IQ,2026-05-03 23:00:00+00,32.95,19,1007,29.63,WNW,f
Beirut,LB,2026-05-03 23:00:00+00,13.54,70,1012,35.57,SW,f
Amman,JO,2026-05-03 23:00:00+00,12.05,71,1015,18.50,W,f
Kuwait City,KW,2026-05-03 23:00:00+00,30.44,37,1007,4.00,WNW,f
Doha,QA,2026-05-03 23:00:00+00,29.57,36,1006,16.67,NW,t
Casablanca,MA,2026-05-03 23:00:00+00,18.07,82,1017,7.42,NE,t
Tunisia,TN,2026-05-03 23:00:00+00,20.20,45,1019,17.75,NE,f
Cairo,EG,2026-05-03 22:00:00+00,17.42,55,1017,16.67,NNW,f
Riyadh,SA,2026-05-03 22:00:00+00,26.14,16,1011,8.53,NNE,t
Dubai,AE,2026-05-03 22:00:00+00,31.96,35,1005,9.25,SSE,f
Baghdad,IQ,2026-05-03 22:00:00+00,33.95,17,1005,22.21,WNW,f
Beirut,LB,2026-05-03 22:00:00+00,12.99,70,1013,37.80,SW,f
Amman,JO,2026-05-03 22:00:00+00,13.05,71,1015,29.63,W,f
Kuwait City,KW,2026-05-03 22:00:00+00,31.55,36,1007,2.16,NNW,f
Doha,QA,2026-05-03 22:00:00+00,29.35,42,1007,9.25,NNW,t
Casablanca,MA,2026-05-03 22:00:00+00,18.07,77,1017,7.42,NNE,t
Tunisia,TN,2026-05-03 22:00:00+00,20.82,43,1019,18.40,ENE,f
Cairo,EG,2026-05-03 21:00:00+00,17.42,51,1016,16.67,NW,f
Riyadh,SA,2026-05-03 21:00:00+00,27.60,16,1013,9.14,NE,t
Dubai,AE,2026-05-03 21:00:00+00,31.96,37,1006,9.25,S,f
Baghdad,IQ,2026-05-03 21:00:00+00,33.95,20,1005,24.08,W,f
Beirut,LB,2026-05-03 21:00:00+00,13.54,82,1012,33.70,SW,t
Amman,JO,2026-05-03 21:00:00+00,13.05,71,1015,29.63,W,f
Kuwait City,KW,2026-05-03 21:00:00+00,30.99,36,1008,6.77,NW,t
Doha,QA,2026-05-03 21:00:00+00,28.76,47,1006,9.25,NNW,t
Casablanca,MA,2026-05-03 21:00:00+00,18.07,77,1017,7.42,NNE,t
Tunisia,TN,2026-05-03 21:00:00+00,21.47,40,1019,18.32,ENE,f
Cairo,EG,2026-05-03 20:00:00+00,18.42,45,1017,24.08,NW,f
Riyadh,SA,2026-05-03 20:00:00+00,29.53,12,1012,11.48,NE,t
Dubai,AE,2026-05-03 20:00:00+00,32.96,35,1006,5.54,S,f
Baghdad,IQ,2026-05-03 20:00:00+00,34.95,17,1005,44.46,S,f
Beirut,LB,2026-05-03 20:00:00+00,14.65,79,1013,35.21,SW,t
Amman,JO,2026-05-03 20:00:00+00,15.05,72,1015,22.21,W,f
Kuwait City,KW,2026-05-03 20:00:00+00,30.78,51,1008,6.19,WNW,t
Doha,QA,2026-05-03 20:00:00+00,29.99,45,1007,7.42,N,t
Casablanca,MA,2026-05-03 20:00:00+00,19.13,70,1017,9.25,N,t
Tunisia,TN,2026-05-03 20:00:00+00,22.61,33,1019,18.18,E,f
Cairo,EG,2026-05-03 19:00:00+00,19.42,42,1016,22.21,NW,t
Riyadh,SA,2026-05-03 19:00:00+00,30.01,12,1012,14.87,NNE,t
Dubai,AE,2026-05-03 19:00:00+00,32.96,38,1006,12.96,W,f
Baghdad,IQ,2026-05-03 19:00:00+00,34.95,18,1005,29.63,S,f
Beirut,LB,2026-05-03 19:00:00+00,14.65,79,1012,34.74,SW,t
Amman,JO,2026-05-03 19:00:00+00,15.05,72,1013,20.38,WSW,t
Kuwait City,KW,2026-05-03 19:00:00+00,28.21,66,1008,4.25,SW,t
Doha,QA,2026-05-03 19:00:00+00,29.99,51,1008,9.25,N,t
Casablanca,MA,2026-05-03 19:00:00+00,19.13,68,1016,9.25,NNE,t
Tunisia,TN,2026-05-03 19:00:00+00,24.98,23,1018,7.52,SE,f
Cairo,EG,2026-05-03 18:00:00+00,20.42,42,1015,25.92,NW,t
Riyadh,SA,2026-05-03 18:00:00+00,32.10,11,1011,16.24,N,f
Dubai,AE,2026-05-03 18:00:00+00,32.96,35,1006,11.12,WSW,f
Baghdad,IQ,2026-05-03 18:00:00+00,32.95,19,1004,14.83,SSE,f
Beirut,LB,2026-05-03 18:00:00+00,15.21,82,1011,32.83,SW,t
Amman,JO,2026-05-03 18:00:00+00,15.75,79,1012,26.10,W,t
Kuwait City,KW,2026-05-03 18:00:00+00,30.98,51,1007,3.53,SSW,t
Doha,QA,2026-05-03 18:00:00+00,29.99,48,1007,7.42,N,t
Casablanca,MA,2026-05-03 18:00:00+00,20.19,60,1015,11.12,N,t
Tunisia,TN,2026-05-03 18:00:00+00,25.98,21,1017,4.43,SSE,f
Cairo,EG,2026-05-03 17:00:00+00,20.42,45,1014,27.79,NW,t
Riyadh,SA,2026-05-03 17:00:00+00,33.51,10,1011,15.91,N,f
Dubai,AE,2026-05-03 17:00:00+00,33.96,31,1006,11.12,W,f
Baghdad,IQ,2026-05-03 17:00:00+00,32.95,19,1004,14.83,SSE,f
Beirut,LB,2026-05-03 17:00:00+00,15.21,92,1010,28.22,WSW,t
Amman,JO,2026-05-03 17:00:00+00,15.75,75,1012,27.65,WNW,t
Kuwait City,KW,2026-05-03 17:00:00+00,31.86,60,1006,4.03,SSE,t
Doha,QA,2026-05-03 17:00:00+00,29.99,51,1006,9.25,NNE,t
Casablanca,MA,2026-05-03 17:00:00+00,20.18,60,1015,11.12,N,t
Tunisia,TN,2026-05-03 17:00:00+00,26.19,21,1016,6.05,SSE,f
Cairo,EG,2026-05-03 16:00:00+00,22.42,43,1014,29.63,NW,t
Riyadh,SA,2026-05-03 16:00:00+00,34.45,11,1009,16.63,N,f
Dubai,AE,2026-05-03 16:00:00+00,33.96,27,1006,24.08,WNW,f
Baghdad,IQ,2026-05-03 16:00:00+00,34.95,16,1004,14.83,SE,f
Beirut,LB,2026-05-03 16:00:00+00,16.32,90,1009,24.52,WSW,t
Amman,JO,2026-05-03 16:00:00+00,19.05,48,1010,35.17,W,t
Kuwait City,KW,2026-05-03 16:00:00+00,31.96,44,1007,2.09,SSE,f
Doha,QA,2026-05-03 16:00:00+00,30.99,42,1006,12.96,N,t
Casablanca,MA,2026-05-03 16:00:00+00,20.74,64,1015,12.96,NNE,t
Tunisia,TN,2026-05-03 16:00:00+00,26.26,24,1017,6.34,SSE,f
Cairo,EG,2026-05-03 15:00:00+00,23.42,43,1013,31.50,WNW,t
Riyadh,SA,2026-05-03 15:00:00+00,36.03,10,1009,19.87,N,f
Dubai,AE,2026-05-03 15:00:00+00,34.96,29,1005,27.79,WNW,f
Baghdad,IQ,2026-05-03 15:00:00+00,34.95,16,1004,16.67,SE,f
Beirut,LB,2026-05-03 15:00:00+00,16.32,88,1010,23.98,WSW,t
Amman,JO,2026-05-03 15:00:00+00,19.05,52,1009,44.46,W,t
Kuwait City,KW,2026-05-03 15:00:00+00,29.88,53,1006,0.54,S,t
Doha,QA,2026-05-03 15:00:00+00,32.99,35,1006,14.83,NE,f
Casablanca,MA,2026-05-03 15:00:00+00,20.74,64,1015,12.96,N,t
Tunisia,TN,2026-05-03 15:00:00+00,26.00,26,1017,5.29,S,f
Cairo,EG,2026-05-03 14:00:00+00,23.42,46,1012,29.63,NW,t
Riyadh,SA,2026-05-03 14:00:00+00,37.11,9,1008,19.58,N,f
Dubai,AE,2026-05-03 14:00:00+00,34.96,34,1005,24.08,W,f
Baghdad,IQ,2026-05-03 14:00:00+00,37.95,14,1004,22.21,SSE,f
Beirut,LB,2026-05-03 14:00:00+00,16.88,93,1009,28.19,W,t
Amman,JO,2026-05-03 14:00:00+00,22.05,43,1009,38.88,W,f
Kuwait City,KW,2026-05-03 14:00:00+00,30.44,49,1005,0.83,SW,t
Doha,QA,2026-05-03 14:00:00+00,33.99,33,1006,16.67,NE,f
Casablanca,MA,2026-05-03 14:00:00+00,20.74,68,1016,14.47,N,t
